date,pure,stats,mech,physics,compsci
Jul 17,0,0,0,0,0
Jul 18,0,0,0,0,0
Jul 19,0,0,0,0,0
Jul 20,0,0,0,0,0
Jul 21,0,0,0,0,0
Jul 22,0,0,0,0,0
Jul 23,0,0,0,0,0
Jul 24,0,0,0,0,0
Jul 25,0,0,0,0,0
Jul 26,0,0,0,0,0
Jul 27,0,0,0,0,0
Jul 28,0,0,0,0,0
Jul 29,0,0,0,0,0
Jul 30,0,0,0,0,0
Jul 31,0,0,0,0,0
Aug 1,0,0,0,0,0
Aug 2,0,0,0,0,0
Aug 3,0,0,0,0,0
Aug 4,0,0,0,0,0
Aug 5,0,0,0,0,0
Aug 6,0,0,0,0,0
Aug 7,0,0,0,0,0
Aug 8,0,0,0,0,0
Aug 9,0,0,0,0,0
Aug 10,0,0,0,0,0
Aug 11,0,0,0,0,0
Aug 12,0,0,0,0,0
Aug 13,0,0,0,0,0
Aug 14,0,0,0,0,0
Aug 15,0,0,0,0,0
Aug 16,0,0,0,0,0
Aug 17,0,0,0,0,0
Aug 18,0,0,0,0,0
Aug 19,0,0,0,0,0
Aug 20,0,0,0,0,0
Aug 21,0,0,0,0,0
Aug 22,0,0,0,0,0
Aug 23,0,0,0,0,0
Aug 24,0,0,0,0,0
Aug 25,0,0,0,0,0
Aug 26,0,0,0,0,0
Aug 27,0,0,0,0,0
Aug 28,0,0,0,0,0
Aug 29,0,0,0,0,0
Aug 30,0,0,0,0,0
Aug 31,0,0,0,0,0
Sep 1,0,0,0,0,0
Sep 2,0,0,0,0,0
Sep 3,0,0,0,0,0
Sep 4,0,0,0,0,0
Sep 5,0,0,0,0,0
Sep 6,0,0,0,0,0
Sep 7,0,0,0,0,0
Sep 8,0,0,0,0,0
Sep 9,0,0,0,0,0
Sep 10,0,0,0,0,0
Sep 11,0,0,0,0,0
Sep 12,0,0,0,0,0
Sep 13,0,0,0,0,0
Sep 14,0,0,0,0,0
Sep 15,0,0,0,0,0
Sep 16,0,0,0,0,0
Sep 17,0,0,0,0,0
Sep 18,0,0,0,0,0
Sep 19,0,0,0,0,0
Sep 20,0,0,0,0,0
Sep 21,0,0,0,0,0
Sep 22,0,0,0,0,0
Sep 23,0,0,0,0,0
Sep 24,0,0,0,0,0
Sep 25,0,0,0,0,0
Sep 26,0,0,0,0,0
Sep 27,0,0,0,0,0
Sep 28,0,0,0,0,0
Sep 29,0,0,0,0,0
Sep 30,0,0,0,0,0
Oct 1,0,0,0,0,0
Oct 2,0,0,0,0,0
Oct 3,0,0,0,0,0
Oct 4,0,0,0,0,0
Oct 5,0,0,0,0,0
Oct 6,0,0,0,0,0
Oct 7,0,0,0,0,0
Oct 8,0,0,0,0,0
Oct 9,0,0,0,0,0
Oct 10,0,0,0,0,0
Oct 11,0,0,0,0,0
Oct 12,0,0,0,0,0
Oct 13,0,0,0,0,0
Oct 14,0,0,0,0,0
Oct 15,0,0,0,0,0
Oct 16,0,0,0,0,0
Oct 17,0,0,0,0,0
Oct 18,0,0,0,0,0
Oct 19,0,0,0,0,0
Oct 20,0,0,0,0,0
Oct 21,0,0,0,0,0
Oct 22,0,0,0,0,0
Oct 23,0,0,0,0,0
Oct 24,0,0,0,0,0
Oct 25,0,0,0,0,0
Oct 26,0,0,0,0,0
Oct 27,0,0,0,0,0
Oct 28,0,0,0,0,0
Oct 29,0,0,0,0,0
Oct 30,0,0,0,0,0
Oct 31,0,0,0,0,0
Nov 1,0,0,0,0,0
Nov 2,0,0,0,0,0
Nov 3,0,0,0,0,0
Nov 4,0,0,0,0,0
Nov 5,0,0,0,0,0
Nov 6,0,0,0,0,0
Nov 7,0,0,0,0,0
Nov 8,0,0,0,0,0
Nov 9,0,0,0,0,0
Nov 10,0,0,0,0,0
Nov 11,0,0,0,0,0
Nov 12,0,0,0,0,0
Nov 13,0,0,0,0,0
Nov 14,0,0,0,0,0
Nov 15,0,0,0,0,0
Nov 16,0,0,0,0,0
Nov 17,0,0,0,0,0
Nov 18,0,0,0,0,0
Nov 19,0,0,0,0,0
Nov 20,0,0,0,0,0
Nov 21,0,0,0,0,0
Nov 22,0,0,0,0,0
Nov 23,0,0,0,0,0
Nov 24,0,0,0,0,0
Nov 25,0,0,0,0,0
Nov 26,0,0,0,0,0
Nov 27,0,0,0,0,0
Nov 28,0,0,0,0,0
Nov 29,0,0,0,0,0
Nov 30,0,0,0,0,0
Dec 1,0,0,0,0,0
Dec 2,0,0,0,0,0
Dec 3,0,0,0,0,0
Dec 4,0,0,0,0,0
Dec 5,0,0,0,0,0
Dec 6,0,0,0,0,0
Dec 7,0,0,0,0,0
Dec 8,0,0,0,0,0
Dec 9,0,0,0,0,0
Dec 10,0,0,0,0,0
Dec 11,0,0,0,0,0
Dec 12,0,0,0,0,0
Dec 13,0,0,0,0,0
Dec 14,0,0,0,0,0
Dec 15,0,0,0,0,0
Dec 16,0,0,0,0,0
Dec 17,0,0,0,0,0
Dec 18,0,0,0,0,0
Dec 19,0,0,0,0,0
Dec 20,0,0,0,0,0
Dec 21,0,0,0,0,0
Dec 22,0,0,0,0,0
Dec 23,0,0,0,0,0
Dec 24,0,0,0,0,0
Dec 25,0,0,0,0,0
Dec 26,0,0,0,0,0
Dec 27,0,0,0,0,0
Dec 28,0,0,0,0,0
Dec 29,0,0,0,0,0
Dec 30,0,0,0,0,0
